# http://anonhandbook.org/blacklist http://anonhandbook.i2p/blacklist http://oxgzwiiypou6udlp.onion/blacklist
# IP-адрес;URL или домен;Дата основания для внесения в реестр;Номер основания для внесения в реестр;Орган, принявший решение о внесении в реестр;Дата внесения в реестр;Комментарий
62.76.190.84,http://yesche.biz/index.php/topic/369-скорость-в-новосибирскезакладки/,05.11.2012,16442,ФСКН,11.11.2012,
91.218.121.69,http://www.enteogens.ru/content/легальные-порошки-и-соли-для-ванн-2012,05.11.2012,16443,ФСКН,11.11.2012,
82.192.87.232,http://jvh-shop.com/product.php?id_product=10,05.11.2012,16443,ФСКН,11.11.2012,
94.76.233.81,http://growerz.org/,05.11.2012,2/2/16471,ФСКН,11.11.2012,
37.140.192.19,http://legalstaff.biz/,05.11.2012,2/2/16473,ФСКН,11.11.2012,
66.96.147.166,http://ufa.realstaf.com/,05.11.2012,2/2/16472,ФСКН,11.11.2012,
91.220.101.139,http://legalitolko.com/,05.11.2012,2/2/16483,ФСКН,11.11.2012,
94.102.50.103,http://lib.rus.ec/b/175947/read#t12,05.11.2012,2/2/16482,ФСКН,11.11.2012,Адрес принадлежит онлайн-библиотеке Либрусек.
91.218.123.56,http://poroshki.tv/,06.11.2012,2/2/16476,ФСКН,11.11.2012,
37.1.202.20,http://ganjeprom.com/,06.11.2012,2/2/16486,ФСКН,11.11.2012,
,http://eve-space.ru/article/?pl=19,07.11.2012,91.224.140.151,http://newlegalstuff.com/,04.11.2012,2/1/16405,ФСКН,11.11.2012,
195.93.238.197,weedy.be,05.11.2012,16433,ФСКН,11.11.2012,
193.161.87.215,Drugspowerstore.com,05.11.2012,16437,ФСКН,11.11.2012,
62.76.178.72,http://adengo.ru/novosibirsk-713/drugoe-67/skorost-v-novosibirske-388424.html,05.11.2012,16438,ФСКН,11.11.2012,
217.107.219.108,http://www.spice54.ru/,05.11.2012,16441,ФСКН,11.11.2012,
62.76.190.84,http://yesche.biz/index.php/topic/369-скорость-в-новосибирскезакладки/,05.11.2012,16442,ФСКН,11.11.2012,
91.218.121.69,http://www.enteogens.ru/content/легальные-порошки-и-соли-для-ванн-2012,05.11.2012,16443,ФСКН,11.11.2012,
82.192.87.232,http://jvh-shop.com/product.php?id_product=10,05.11.2012,16443,ФСКН,11.11.2012,
94.76.233.81,http://growerz.org/,05.11.2012,2/2/16471,ФСКН,11.11.2012,
37.140.192.19,http://legalstaff.biz/,05.11.2012,2/2/16473,ФСКН,11.11.2012,
66.96.147.166,http://ufa.realstaf.com/,05.11.2012,2/2/16472,ФСКН,11.11.2012,
91.220.101.139,http://legalitolko.com/,05.11.2012,2/2/16483,ФСКН,11.11.2012,
94.102.50.103,http://lib.rus.ec/b/175947/read#t12,05.11.2012,2/2/16482,ФСКН,11.11.2012,Адрес принадлежит онлайн-библиотеке Либрусек.
91.218.123.56,http://poroshki.tv/,06.11.2012,2/2/16476,ФСКН,11.11.2012,
37.1.202.20,http://ganjeprom.com/,06.11.2012,2/2/16486,ФСКН,11.11.2012,
,http://eve-space.ru/article/?pl=19,07.11.2012,2/1/16571,ФСКН,08.11.2012,Описание бустеров из EVE Online. Страница более не доступна.
,http://rutracker.org/forum/viewtopic.php?t=620726,10.11.2012,106,Роспотребнадзор,12.11.2012,Страница более не доступна.
